instance,method,time,best_obj
interKP-500-100-5-6,MibS-First,40.0,15084.0
weish21.dat-100,MibS-First,1.0,8511.0
OR10x500-0.75_5.dat-0,MibS-First,3600,1e+20
interKP-500-100-5-7,MibS-First,65.0,17163.0
OR5x100-0.75_7.dat-100,MibS-First,3.0,23903.0
OR5x250-0.75_4.dat-50,MibS-First,34.0,55511.0
interKP-300-100-9-9,MibS-First,1.0,14178.0
tree-80_3-3-3_007,MibS-First,0.0,75.0
OR30x100-0.25_5.dat-50,MibS-First,39.0,23555.0
p0201-0.500000,MibS-First,1.0,14395.0
interKP-300-100-9-8,MibS-First,0.0,13849.0
