instance,problem,approach,n_jobs,gamma,k,time,objective,n_active_col,quality,gap,rule_for_branching
instance_n10_r5_d30_1.txt,2,colgen-ext,10,4,0,491.732,165.000,1,Optimal,0.00000,default
instance_n15_r5_d30_0.txt,2,colgen-ext,15,5,0,747.070,256.440,8,Optimal,0.00000,default
instance_n10_r10_d20_1.txt,2,colgen-ext,10,2,0,53.863,197.000,1,Optimal,0.00000,default
instance_n15_r10_d10_4.txt,2,colgen-ext,15,5,0,29.596,249.000,1,Optimal,0.00000,default
instance_n10_r10_d20_3.txt,2,colgen-ext,10,5,0,1.851,156.000,1,Optimal,0.00000,default
instance_n15_r20_d30_4.txt,2,colgen-ext,15,7,0,42.159,142.000,1,Optimal,0.00000,default
instance_n10_r5_d30_3.txt,2,colgen-ext,10,3,0,430.983,193.302,5,Optimal,0.00000,default
instance_n10_r30_d10_0.txt,2,colgen-ext,10,5,0,2.302,168.000,1,Optimal,0.00000,default
instance_n15_r20_d20_2.txt,2,colgen-ext,15,1,0,1146.900,112.929,3,Optimal,0.00000,default
instance_n10_r30_d5_2.txt,2,colgen-ext,10,6,0,1.314,207.000,1,Optimal,0.00000,default
instance_n15_r20_d5_0.txt,2,colgen-ext,15,1,0,19.152,218.925,3,Optimal,0.00000,default
instance_n15_r30_d5_3.txt,2,colgen-ext,15,7,0,1.605,311.000,1,Optimal,0.00000,default
instance_n10_r30_d10_2.txt,2,colgen-ext,10,2,0,1.582,104.000,1,Optimal,0.00000,default
instance_n5_r10_d5_0.txt,2,colgen-ext,5,2,0,0.015,60.000,1,Optimal,0.00000,default
instance_n15_r20_d20_0.txt,2,colgen-ext,15,6,0,16.045,248.000,1,Optimal,0.00000,default
instance_n5_r10_d20_3.txt,2,colgen-ext,5,3,0,0.144,92.000,1,Optimal,0.00000,default
instance_n15_r20_d5_2.txt,2,colgen-ext,15,6,0,11.730,212.000,1,Optimal,0.00000,default
instance_n10_r30_d5_0.txt,2,colgen-ext,10,1,0,0.938,158.000,1,Optimal,0.00000,default
instance_n10_r20_d5_3.txt,2,colgen-ext,10,7,0,1.997,223.000,1,Optimal,0.00000,default
instance_n5_r20_d20_2.txt,2,colgen-ext,5,2,0,0.657,150.000,1,Optimal,0.00000,default
instance_n15_r10_d20_1.txt,2,colgen-ext,15,7,0,9.518,219.000,1,Optimal,0.00000,default
instance_n10_r30_d30_3.txt,2,colgen-ext,10,1,0,174.506,102.771,2,Optimal,0.00000,default
instance_n15_r30_d30_0.txt,2,colgen-ext,15,9,0,157.857,172.000,1,Optimal,0.00000,default
instance_n10_r20_d30_4.txt,2,colgen-ext,10,2,0,54.029,160.849,5,Optimal,0.00000,default
instance_n10_r30_d30_1.txt,2,colgen-ext,10,6,0,3.812,171.000,1,Optimal,0.00000,default
instance_n10_r20_d20_2.txt,2,colgen-ext,10,4,0,3.803,112.000,1,Optimal,0.00000,default
instance_n15_r30_d20_4.txt,2,colgen-ext,15,8,0,55.567,159.000,1,Optimal,0.00000,default
instance_n15_r5_d10_3.txt,2,colgen-ext,15,1,0,58.879,289.654,3,Optimal,0.00000,default
instance_n5_r20_d5_4.txt,2,colgen-ext,5,2,0,0.207,52.000,1,Optimal,0.00000,default
instance_n10_r20_d20_0.txt,2,colgen-ext,10,3,0,110.018,144.721,3,Optimal,0.00000,default
instance_n15_r5_d10_1.txt,2,colgen-ext,15,6,0,394.558,187.000,1,Optimal,0.00000,default
